"","X","id","hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"82",108907,110861,"City Hotel",0,140,2017,"April",17,28,2,2,2,0,0,"BB","FRA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","119","NULL",0,"Transient-Party",130,0,1,"Check-Out","2017-05-02"
"83",22379,22778,"Resort Hotel",0,13,2016,"April",15,4,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-04-06"
"84",65791,66794,"City Hotel",1,96,2017,"April",17,26,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","29","NULL",0,"Transient",130,0,0,"Canceled","2017-01-20"
"85",65856,66859,"City Hotel",1,96,2017,"April",17,26,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","29","NULL",0,"Transient",130,0,0,"Canceled","2017-01-20"
"86",64826,65825,"City Hotel",1,41,2017,"April",15,9,2,0,1,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",130,0,0,"Canceled","2017-03-08"
"87",66222,67225,"City Hotel",1,313,2017,"April",17,29,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","6","NULL",0,"Transient",90,0,0,"Canceled","2017-02-23"
"88",23301,23725,"Resort Hotel",0,47,2016,"April",18,30,1,1,1,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-05-02"
"89",4943,5074,"Resort Hotel",0,183,2016,"April",16,16,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-04-18"
"90",85592,87064,"City Hotel",0,138,2016,"April",16,13,0,1,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",90,0,1,"Check-Out","2016-04-14"
"91",34841,35546,"Resort Hotel",0,203,2017,"April",17,25,0,2,2,0,0,"HB","AUT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","502","NULL",0,"Transient-Party",90,0,0,"Check-Out","2017-04-27"
"92",4998,5131,"Resort Hotel",0,185,2016,"April",17,18,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-04-20"
"93",65796,66799,"City Hotel",1,96,2017,"April",17,26,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","29","NULL",0,"Transient",130,0,0,"Canceled","2017-01-20"
"94",34812,35517,"Resort Hotel",0,61,2017,"April",16,18,2,5,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",2,"No Deposit","NULL","307",0,"Transient-Party",90,1,0,"Check-Out","2017-04-25"
"95",11016,11193,"Resort Hotel",1,4,2017,"April",17,28,1,2,2,1,0,"HB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit","250","NULL",0,"Transient",128,0,0,"Canceled","2017-04-24"
"96",64474,65471,"City Hotel",1,372,2017,"April",14,4,0,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"97",107827,109772,"City Hotel",0,298,2017,"April",15,14,1,2,2,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","A",1,"No Deposit","6","NULL",0,"Transient-Party",90,0,0,"Check-Out","2017-04-17"
"98",65853,66856,"City Hotel",1,126,2017,"April",17,26,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","29","NULL",30,"Transient",130,0,0,"Canceled","2017-01-20"
"99",65527,66530,"City Hotel",1,135,2017,"April",16,21,1,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","3","NULL",0,"Transient",90,0,0,"Canceled","2016-12-07"
"100",66098,67101,"City Hotel",1,121,2017,"April",17,28,1,2,2,0,0,"HB","HUN","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",166.5,0,0,"Canceled","2017-01-01"
"101",65608,66611,"City Hotel",1,393,2017,"April",16,22,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"102",108563,110516,"City Hotel",0,102,2017,"April",17,24,1,3,1,0,0,"BB","IRL","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","NULL","424",0,"Transient-Party",90,0,0,"Check-Out","2017-04-28"
"103",4992,5125,"Resort Hotel",0,185,2016,"April",17,18,1,1,1,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","298","NULL",0,"Transient-Party",54.5,0,0,"Check-Out","2016-04-20"
"104",65666,66669,"City Hotel",1,58,2017,"April",16,22,2,2,2,2,0,"BB","ITA","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9","NULL",0,"Transient",230,0,0,"Canceled","2017-03-17"
"105",86663,88154,"City Hotel",0,127,2016,"April",18,28,1,3,2,0,0,"BB","USA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","3","NULL",0,"Transient-Party",90,0,0,"Check-Out","2016-05-02"
"106",34832,35537,"Resort Hotel",0,203,2017,"April",17,25,0,2,2,0,0,"HB","AUT","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","502","NULL",0,"Transient-Party",90,0,1,"Check-Out","2017-04-27"
"107",65605,66608,"City Hotel",1,393,2017,"April",16,22,2,1,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","229","NULL",0,"Transient",90,0,0,"Canceled","2016-04-17"
"108",108088,110034,"City Hotel",0,61,2017,"April",16,17,1,3,2,2,0,"BB","DEU","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9","NULL",0,"Transient",230,0,0,"Check-Out","2017-04-21"
"109",107372,109316,"City Hotel",0,92,2017,"April",14,7,0,2,3,0,0,"BB","AUT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",166.5,0,0,"Check-Out","2017-04-09"
"110",65699,66702,"City Hotel",1,135,2017,"April",17,23,2,0,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","171","NULL",0,"Transient",90,0,0,"Canceled","2016-12-09"
"111",86664,88155,"City Hotel",0,127,2016,"April",18,28,1,3,2,0,0,"BB","USA","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","3","NULL",0,"Transient-Party",90,0,0,"Check-Out","2016-05-02"
"112",48602,49552,"City Hotel",1,101,2016,"April",16,14,0,3,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","NULL","NULL",0,"Transient",130,0,0,"Canceled","2016-04-12"
"113",48384,49334,"City Hotel",1,23,2016,"April",16,10,2,4,2,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",128,0,0,"Canceled","2016-04-05"
"114",65847,66850,"City Hotel",1,96,2017,"April",17,26,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","29","NULL",0,"Transient",130,0,0,"Canceled","2017-01-20"
"115",65787,66790,"City Hotel",1,96,2017,"April",17,26,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","29","NULL",0,"Transient",130,0,0,"Canceled","2017-01-20"
"116",65062,66065,"City Hotel",1,155,2017,"April",15,13,1,3,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund","58","NULL",0,"Transient",130,0,0,"Canceled","2017-04-05"
"117",13665,13853,"Resort Hotel",0,89,2017,"April",15,15,1,1,2,0,0,"BB","PRT","Direct","Direct",0,0,5,"E","E",0,"No Deposit","NULL","NULL",0,"Transient",90,1,2,"Check-Out","2017-04-17"
